grid_id,locality,timestamp,hour_of_day,centroid_lat,centroid_lon,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,rainfall_intensity_change,elevation_m,slope_deg,low_lying_score,dist_to_drain_m,drainage_density,dist_to_mithi_m,dist_to_coast_m,historical_hotspot_score,built_up_ratio,flood_event,target_plus_1h,target_plus_3h
MUM_000129,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.965356,72.814927,5.66,11.29,21.57,50.98,1.99,12.56,2.68,0.4,2059.1,0.2,3476.4,438.1,0.082,0.733,0,0,0
MUM_000130,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.969872,72.814868,5.43,11.2,21.66,51.22,1.74,11.41,3.42,0.4,2385.3,0.2,3106.7,338.6,0.081,0.711,0,0,0
MUM_000131,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.974388,72.814809,5.25,11.14,21.75,51.45,1.51,14.05,1.52,0.4,2702.3,0.2,2775.1,247.5,0.075,0.764,0,0,0
MUM_000132,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.978903,72.81475,5.11,11.12,21.85,51.66,1.33,7.14,3.64,0.4,2465.5,0.2,2465.5,193.3,0.068,0.785,0,0,0
MUM_000133,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.983419,72.814691,5.0,11.13,21.96,51.85,1.18,14.43,2.1,0.4,2219.0,0.2,2219.0,143.9,0.058,0.759,0,0,0
MUM_000134,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.987934,72.814632,4.92,11.16,22.06,52.02,1.05,20.31,3.89,0.4,2066.5,0.2,2066.5,95.0,0.048,0.736,0,0,0
MUM_000135,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.99245,72.814573,4.86,11.2,22.17,52.18,0.96,14.43,3.4,0.4,2025.8,0.2,2025.8,47.8,0.038,0.79,0,0,0
MUM_000136,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.996965,72.814514,4.82,11.24,22.26,52.32,0.88,10.88,2.44,0.4,4728.5,0.2,5299.6,62.9,0.095,0.707,0,0,0
MUM_000137,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.001481,72.814455,4.79,11.29,22.33,52.43,0.82,13.15,3.56,0.4,4239.3,0.2,5622.2,105.4,0.083,0.824,0,0,0
MUM_000138,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.005996,72.814396,4.75,11.31,22.39,52.52,0.77,10.23,1.37,0.4,3742.6,0.2,5949.8,148.6,0.068,0.77,0,0,0
MUM_000139,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.010512,72.814337,4.7,11.31,22.42,52.6,0.71,15.29,2.41,0.4,3243.6,0.2,6279.0,192.0,0.053,0.788,0,0,0
MUM_000140,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.015027,72.814278,4.63,11.26,22.41,52.64,0.66,11.73,1.81,0.4,2744.7,0.2,6607.0,236.7,0.049,0.754,0,0,0
MUM_000141,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.019497,72.814292,4.54,11.18,22.37,52.67,0.6,18.45,2.96,0.4,2253.5,0.2,6908.2,310.7,0.057,0.747,0,0,0
MUM_000142,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.023967,72.814662,4.42,11.08,22.31,52.7,0.54,8.87,2.42,0.4,1759.3,0.57,7202.9,266.4,0.062,0.762,0,0,0
MUM_000143,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.028454,72.815082,4.27,10.94,22.23,52.73,0.46,8.34,1.39,0.4,1277.4,1.37,7481.3,230.8,0.066,0.823,0,0,0
MUM_000144,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.032905,72.815498,4.1,10.76,22.12,52.75,0.38,11.66,3.17,0.4,808.6,2.15,7689.6,204.0,0.066,0.789,0,0,0
MUM_000145,Bandra West,2024-07-15 12:00:00,12,19.037192,72.8159,3.9,10.59,22.01,52.78,0.29,6.7,1.35,0.55,344.1,2.93,7885.2,177.3,0.061,0.877,0,0,0
MUM_000146,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,17.65,3.95,0.4,120.1,3.3,8080.7,150.6,0.054,0.807,0,0,0
MUM_000147,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,17.23,1.71,0.4,583.9,2.53,8276.0,123.9,0.046,0.727,0,0,0
MUM_000148,Santacruz / Milan Subway,2024-07-15 12:00:00,12,19.087569,72.815096,2.59,9.98,21.25,52.24,-0.44,3.69,0.7,0.92,1046.8,1.76,8482.1,97.3,0.037,0.94,0,0,0
MUM_000149,Santacruz / Milan Subway,2024-07-15 12:00:00,12,19.091965,72.814628,2.56,9.72,20.8,51.32,-0.53,4.8,1.19,0.92,1507.9,0.99,8710.9,70.7,0.028,0.853,0,0,0
MUM_000150,Santacruz / Milan Subway,2024-07-15 12:00:00,12,19.096429,72.814152,2.53,9.42,20.27,50.23,-0.62,4.18,0.4,0.92,1964.0,0.23,8954.5,44.5,0.022,0.891,0,0,0
MUM_000151,Santacruz / Milan Subway,2024-07-15 12:00:00,12,19.100914,72.813675,2.51,9.11,19.7,49.08,-0.72,3.32,1.03,0.92,7402.1,0.2,13744.6,138.3,0.0,0.866,0,0,0
MUM_000152,Andheri Subway / West,2024-07-15 12:00:00,12,19.105399,72.81321,2.48,8.81,19.16,47.95,-0.81,4.59,0.73,0.92,6969.1,0.2,13287.8,255.0,0.0,0.928,0,0,0
MUM_000153,Andheri Subway / West,2024-07-15 12:00:00,12,19.109853,72.813035,2.46,8.54,18.67,46.92,-0.9,4.42,0.33,0.92,6484.0,0.2,12798.8,463.2,0.0,0.878,0,0,0
MUM_000154,Andheri Subway / West,2024-07-15 12:00:00,12,19.114365,72.812979,2.44,8.31,18.25,46.01,-0.97,4.01,0.75,0.92,5990.5,0.2,12303.5,683.5,0.0,0.877,0,0,0
MUM_000155,Andheri Subway / West,2024-07-15 12:00:00,12,19.118842,72.813087,2.41,8.11,17.91,45.27,-1.03,4.19,0.88,0.92,5498.2,0.2,11808.5,903.9,0.0,0.875,0,0,0
MUM_000156,Andheri Subway / West,2024-07-15 12:00:00,12,19.123355,72.813283,2.39,7.94,17.66,44.7,-1.07,3.19,1.01,0.92,5007.4,0.2,11314.0,1124.2,0.001,0.929,0,0,0
MUM_000157,Andheri Subway / West,2024-07-15 12:00:00,12,19.127866,72.813479,2.36,7.79,17.51,44.29,-1.1,4.96,0.34,0.92,4518.6,0.2,10820.0,1344.6,0.001,0.865,0,0,0
MUM_000158,Andheri Subway / West,2024-07-15 12:00:00,12,19.132375,72.813675,2.33,7.66,17.43,44.0,-1.12,4.22,0.65,0.92,4032.6,0.2,10326.6,1564.9,0.001,0.88,0,0,0
MUM_000159,Andheri Subway / West,2024-07-15 12:00:00,12,19.136878,72.81387,2.29,7.52,17.39,43.78,-1.12,4.71,0.49,0.92,3550.4,0.2,9833.9,1785.3,0.002,0.92,0,0,0
MUM_000160,Goregaon West,2024-07-15 12:00:00,12,19.141374,72.814066,2.25,7.37,17.39,43.58,-1.12,17.94,1.34,0.4,3074.0,0.2,9341.9,2005.6,0.003,0.816,0,0,0
MUM_000161,Goregaon West,2024-07-15 12:00:00,12,19.145853,72.81426,2.2,7.2,17.39,43.35,-1.12,13.18,3.73,0.4,2606.3,0.2,8850.8,2226.0,0.004,0.707,0,0,0
MUM_000162,Goregaon West,2024-07-15 12:00:00,12,19.150282,72.814453,2.14,7.01,17.39,43.08,-1.11,10.94,3.78,0.4,2153.3,0.2,8360.8,2446.3,0.006,0.719,0,0,0
MUM_000163,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,19.97,1.56,0.4,1726.4,0.62,7872.0,2618.6,0.008,0.705,0,0,0
MUM_000164,Mumbai Central,2024-07-15 12:00:00,12,,,,,,,,15.41,3.79,0.4,1349.7,1.25,7384.7,2444.7,0.012,0.816,0,0,0
MUM_000165,Colaba / Fort,2024-07-15 12:00:00,12,18.911749,72.81942,9.13,13.45,21.3,48.63,5.53,21.75,2.42,0.4,1000.6,1.83,6899.3,2270.8,0.017,0.748,0,0,0
MUM_000166,Colaba / Fort,2024-07-15 12:00:00,12,18.915812,72.820226,9.03,13.38,21.29,48.68,5.44,16.24,2.41,0.4,651.5,2.41,6416.0,2097.0,0.024,0.815,0,0,0
MUM_000167,Colaba / Fort,2024-07-15 12:00:00,12,18.920257,72.820259,8.87,13.27,21.29,48.77,5.28,7.81,3.35,0.4,302.4,3.0,5935.6,1923.1,0.034,0.83,1,0,0
MUM_000168,Colaba / Fort,2024-07-15 12:00:00,12,18.924772,72.820201,8.65,13.11,21.28,48.89,5.06,16.71,2.01,0.4,46.7,3.42,5458.7,1749.3,0.047,0.796,0,0,0
MUM_000169,Colaba / Fort,2024-07-15 12:00:00,12,18.929288,72.820142,8.36,12.91,21.28,49.05,4.78,9.54,2.22,0.4,375.6,2.87,4986.3,1575.4,0.063,0.815,0,0,0
MUM_000170,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.933803,72.820083,8.03,12.69,21.28,49.25,4.45,13.42,3.98,0.4,701.7,2.33,4519.8,1401.5,0.081,0.716,0,0,0
MUM_000171,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.938319,72.820025,7.66,12.44,21.3,49.48,4.08,11.59,3.76,0.4,1027.9,1.79,4061.4,1227.7,0.1,0.796,0,0,0
MUM_000172,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.942835,72.819966,7.28,12.2,21.32,49.73,3.69,8.39,2.8,0.4,1354.0,1.24,3613.9,1053.8,0.115,0.702,0,0,0
MUM_000173,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.94735,72.819907,6.89,11.96,21.35,49.99,3.3,9.88,1.21,0.4,1680.2,0.7,3182.2,928.1,0.124,0.796,0,0,0
MUM_000174,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.951866,72.819849,6.53,11.74,21.4,50.27,2.92,21.46,3.58,0.4,2006.3,0.2,2773.5,828.6,0.122,0.789,0,0,0
MUM_000175,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.956381,72.81979,6.19,11.55,21.46,50.54,2.56,8.29,3.46,0.4,2337.5,0.2,2399.6,729.1,0.112,0.737,0,0,0
MUM_000176,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.960897,72.819731,5.88,11.4,21.53,50.81,2.23,17.78,3.14,0.4,2079.4,0.2,2079.4,629.5,0.095,0.774,0,0,0
MUM_000177,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.965412,72.819673,5.62,11.28,21.62,51.07,1.94,11.31,1.34,0.4,1841.1,0.43,1841.1,530.0,0.076,0.759,0,0,0
MUM_000178,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.969928,72.819614,5.41,11.21,21.72,51.32,1.68,9.93,3.02,0.4,1719.2,0.63,1719.2,430.5,0.058,0.821,0,0,0
MUM_000179,Marine Lines / Kalbadevi,2024-07-15 12:00:00,12,18.974444,72.819555,5.24,11.18,21.83,51.56,1.47,19.14,3.01,0.4,1738.2,0.6,1738.2,330.9,0.043,0.751,0,0,0
MUM_000180,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.978959,72.819496,5.11,11.18,21.94,51.78,1.29,19.01,1.32,0.4,1882.5,0.36,1882.5,242.2,0.032,0.706,0,0,0
MUM_000181,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.983475,72.819438,5.02,11.21,22.07,51.98,1.15,18.39,3.98,0.4,2105.7,0.2,2105.7,189.5,0.024,0.754,0,0,0
MUM_000182,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.98799,72.819379,4.96,11.27,22.2,52.16,1.04,15.18,2.86,0.4,2404.4,0.2,2404.4,140.2,0.029,0.704,0,0,0
MUM_000183,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.992506,72.81932,4.93,11.35,22.32,52.33,0.95,13.77,1.36,0.4,2711.8,0.2,2711.8,91.2,0.042,0.721,0,0,0
MUM_000184,Worli / Prabhadevi,2024-07-15 12:00:00,12,18.997021,72.819261,4.92,11.43,22.44,52.48,0.89,19.71,2.48,0.4,3052.8,0.2,3052.8,35.3,0.06,0.808,0,0,0
MUM_000185,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.001537,72.819202,4.92,11.51,22.54,52.61,0.84,18.83,1.58,0.4,3436.3,0.2,3436.3,90.1,0.079,0.715,0,0,0
MUM_000186,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.006052,72.819143,4.91,11.57,22.62,52.71,0.8,11.36,3.55,0.4,3762.8,0.2,3762.8,133.1,0.098,0.763,0,0,0
MUM_000187,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.010568,72.819085,4.88,11.59,22.66,52.78,0.77,12.41,1.88,0.4,4091.6,0.2,4091.6,176.5,0.116,0.722,0,0,0
MUM_000188,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.015084,72.819026,4.82,11.56,22.66,52.83,0.72,16.5,3.66,0.4,4421.3,0.2,4421.3,219.9,0.126,0.805,0,0,0
MUM_000189,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.019599,72.818967,4.73,11.47,22.62,52.85,0.67,15.03,2.35,0.4,4733.1,0.2,4733.1,279.8,0.129,0.822,0,0,0
MUM_000190,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.024115,72.818908,4.59,11.32,22.52,52.86,0.6,16.85,1.39,0.4,4800.2,0.2,5028.4,366.7,0.124,0.78,0,0,0
MUM_000191,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.02863,72.818849,4.4,11.12,22.39,52.86,0.51,17.0,3.49,0.4,4307.9,0.2,5323.7,454.0,0.11,0.795,0,0,0
MUM_000192,Worli / Prabhadevi,2024-07-15 12:00:00,12,19.033146,72.81879,4.18,10.89,22.24,52.86,0.41,9.3,2.54,0.4,3817.5,0.2,5619.0,541.3,0.091,0.812,0,0,0
MUM_000193,Bandra West,2024-07-15 12:00:00,12,19.037661,72.818731,3.94,10.65,22.09,52.88,0.3,7.83,1.09,0.55,3329.9,0.2,5914.2,628.5,0.072,0.851,0,0,0
MUM_000194,Bandra West,2024-07-15 12:00:00,12,19.042122,72.818766,3.7,10.45,21.96,52.93,0.2,7.26,2.47,0.55,2846.8,0.2,6209.4,715.8,0.07,0.814,0,0,0
MUM_000195,Bandra West,2024-07-15 12:00:00,12,19.046599,72.819152,3.47,10.29,21.87,53.04,0.09,7.46,1.29,0.55,2370.3,0.2,6504.7,803.1,0.084,0.814,0,0,0
MUM_000196,Bandra West,2024-07-15 12:00:00,12,19.051085,72.819572,3.26,10.19,21.84,53.21,0.0,11.17,2.13,0.55,1896.4,0.34,6799.9,763.1,0.094,0.869,0,0,0
MUM_000197,Bandra West,2024-07-15 12:00:00,12,19.05553,72.819988,3.08,10.17,21.87,53.43,-0.07,6.07,2.07,0.55,1422.5,1.13,7063.2,709.6,0.098,0.87,0,0,0
MUM_000198,Bandra West,2024-07-15 12:00:00,12,19.060294,72.820282,2.92,10.22,21.96,53.72,-0.14,9.91,2.39,0.55,948.7,1.92,7283.3,656.0,0.095,0.825,0,0,0
MUM_000199,Bandra West,2024-07-15 12:00:00,12,19.064958,72.81988,2.81,10.31,22.06,53.95,-0.18,10.71,1.41,0.55,474.8,2.71,7503.4,602.5,0.086,0.813,0,0,0
MUM_000200,Bandra West,2024-07-15 12:00:00,12,19.069407,72.819406,2.74,10.41,22.14,54.09,-0.22,13.03,1.53,0.55,1.0,3.5,7723.5,548.9,0.073,0.836,0,0,0
